,threshold,accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,balanced_accuracy,mcc,cohens_kappa,avg_inference_time_sec_per_image,confusion_matrix,neo_accuracy,neo_n,retcam_accuracy,retcam_n
train,0.5,0.8992248062015504,0.8709677419354839,0.9152542372881356,0.8857142857142857,0.8925619834710744,0.9757869249394673,0.9004842615012106,0.7986513478780985,0.7977812613047148,0.003424988249916543,"[[62, 8], [5, 54]]",0.8983050847457628,59,0.9,70
val,0.5,0.75,0.8,0.6153846153846154,0.8666666666666667,0.6956521739130435,0.8102564102564103,0.7410256410256411,0.5017348819226064,0.48958333333333337,0.0036421565000068767,"[[13, 2], [5, 8]]",0.5833333333333334,12,0.875,16
test,0.5,0.8214285714285714,0.9,0.6923076923076923,0.9333333333333333,0.7826086956521738,0.9230769230769231,0.8128205128205128,0.651187825474021,0.6354166666666667,0.0032384962499349967,"[[14, 1], [4, 9]]",0.9285714285714286,14,0.7142857142857143,14
